player,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,PTS,salary,inflationAdjSalary
Mark Acres,1990,C,27.0,ORL,80.0,50.0,1691.0,138.0,285.0,0.4842105263157895,83.0,120.0,0.6916666666666667,362.0,437000.0,996827.0
Michael Adams,1990,PG,27.0,DEN,79.0,74.0,2690.0,398.0,989.0,0.4024266936299292,267.0,314.0,0.8503184713375797,1221.0,825000.0,1881882.0
Mark Aguirre,1990,SF,30.0,DET,78.0,40.0,2005.0,438.0,898.0,0.48775055679287305,192.0,254.0,0.7559055118110236,1099.0,1115000.0,2543393.0
Danny Ainge,1990,PG,30.0,SAC,75.0,68.0,2727.0,506.0,1154.0,0.43847487001733104,222.0,267.0,0.8314606741573034,1342.0,725000.0,1653775.0
Mark Alarie,1990,PF,26.0,WSB,82.0,10.0,1893.0,371.0,785.0,0.4726114649681529,108.0,133.0,0.8120300751879699,860.0,500000.0,1140535.0
Steve Alford,1990,PG,25.0,DAL,41.0,0.0,302.0,63.0,138.0,0.45652173913043476,35.0,37.0,0.9459459459459459,168.0,250000.0,570267.0
Greg Anderson,1990,PF,25.0,MIL,60.0,28.0,1291.0,219.0,432.0,0.5069444444444444,91.0,170.0,0.5352941176470588,529.0,1365000.0,3113660.0
Nick Anderson,1990,SG,22.0,ORL,81.0,9.0,1785.0,372.0,753.0,0.4940239043824701,186.0,264.0,0.7045454545454546,931.0,725000.0,1653775.0
Ron Anderson,1990,SF,31.0,PHI,78.0,3.0,2089.0,379.0,841.0,0.450653983353151,165.0,197.0,0.8375634517766497,926.0,425000.0,969454.0
Willie Anderson,1990,SG,23.0,SAS,82.0,81.0,2788.0,532.0,1082.0,0.49168207024029575,217.0,290.0,0.7482758620689656,1288.0,725000.0,1653775.0
Michael Ansley,1990,SF,22.0,ORL,72.0,5.0,1221.0,231.0,465.0,0.4967741935483871,164.0,227.0,0.7224669603524229,626.0,200000.0,456214.0
John Bagley,1990,PG,29.0,BOS,54.0,17.0,1095.0,100.0,218.0,0.45871559633027525,29.0,39.0,0.7435897435897436,230.0,550000.0,1254588.0
Thurl Bailey,1990,SF,28.0,UTA,82.0,33.0,2583.0,470.0,977.0,0.481064483111566,222.0,285.0,0.7789473684210526,1162.0,1000000.0,2281070.0
Ken Bannister,1990,PF,29.0,LAC,52.0,1.0,589.0,77.0,161.0,0.4782608695652174,52.0,110.0,0.4727272727272727,206.0,400000.0,912428.0
Charles Barkley,1990,SF,26.0,PHI,79.0,79.0,3085.0,706.0,1177.0,0.5998300764655905,557.0,744.0,0.7486559139784946,1989.0,2900000.0,6615103.0
Dana Barros,1990,PG,22.0,SEA,81.0,25.0,1630.0,299.0,738.0,0.4051490514905149,89.0,110.0,0.8090909090909091,782.0,500000.0,1140535.0
John Battle,1990,SG,27.0,ATL,60.0,48.0,1477.0,275.0,544.0,0.5055147058823529,102.0,135.0,0.7555555555555555,654.0,590000.0,1345831.0
Kenny Battle,1990,SG,25.0,PHO,59.0,8.0,729.0,93.0,170.0,0.5470588235294118,55.0,82.0,0.6707317073170732,242.0,350000.0,798374.0
William Bedford,1990,C,26.0,DET,42.0,0.0,246.0,54.0,125.0,0.432,9.0,22.0,0.4090909090909091,118.0,850000.0,1938909.0
Benoit Benjamin,1990,C,25.0,LAC,71.0,58.0,2313.0,362.0,688.0,0.5261627906976745,235.0,321.0,0.7320872274143302,959.0,1750000.0,3991872.0
Winston Bennett,1990,SF,24.0,CLE,55.0,34.0,990.0,137.0,286.0,0.479020979020979,64.0,96.0,0.6666666666666666,338.0,525000.0,1197561.0
Larry Bird,1990,SF,33.0,BOS,75.0,75.0,2944.0,718.0,1517.0,0.4733025708635465,319.0,343.0,0.9300291545189504,1820.0,1500000.0,3421605.0
Rolando Blackman,1990,SG,30.0,DAL,80.0,80.0,2934.0,626.0,1256.0,0.4984076433121019,287.0,340.0,0.8441176470588235,1552.0,1650000.0,3763765.0
Mookie Blaylock,1990,PG,22.0,NJN,50.0,17.0,1267.0,212.0,571.0,0.3712784588441331,63.0,81.0,0.7777777777777778,505.0,525000.0,1197561.0
Muggsy Bogues,1990,PG,25.0,CHH,81.0,65.0,2743.0,326.0,664.0,0.49096385542168675,106.0,134.0,0.7910447761194029,763.0,805000.0,1836261.0
Manute Bol,1990,C,27.0,GSW,75.0,20.0,1310.0,56.0,169.0,0.33136094674556216,25.0,49.0,0.5102040816326531,146.0,1300000.0,2965391.0
Sam Bowie,1990,C,28.0,NJN,68.0,54.0,2207.0,347.0,834.0,0.41606714628297364,294.0,379.0,0.7757255936675461,998.0,2000000.0,4562140.0
Randy Breuer,1990,C,29.0,TOT,81.0,55.0,1879.0,298.0,696.0,0.4281609195402299,126.0,193.0,0.6528497409326425,722.0,1150000.0,2623230.0
Randy Breuer,1990,C,29.0,MIL,30.0,8.0,554.0,86.0,186.0,0.46236559139784944,32.0,51.0,0.6274509803921569,204.0,1150000.0,2623230.0
Randy Breuer,1990,C,29.0,MIN,51.0,47.0,1325.0,212.0,510.0,0.41568627450980394,94.0,142.0,0.6619718309859155,518.0,1150000.0,2623230.0
Frank Brickowski,1990,C,30.0,SAS,78.0,12.0,1438.0,211.0,387.0,0.5452196382428941,95.0,141.0,0.6737588652482269,517.0,905000.0,2064368.0
Scott Brooks,1990,PG,24.0,PHI,72.0,1.0,975.0,119.0,276.0,0.4311594202898551,50.0,57.0,0.8771929824561403,319.0,295000.0,672915.0
Chucky Brown,1990,SF,21.0,CLE,75.0,35.0,1339.0,210.0,447.0,0.4697986577181208,125.0,164.0,0.7621951219512195,545.0,630000.0,1437074.0
Mike Brown,1990,C,26.0,UTA,82.0,0.0,1397.0,177.0,344.0,0.5145348837209303,157.0,199.0,0.7889447236180904,512.0,650000.0,1482695.0
Tony Brown,1990,SF,29.0,MIL,61.0,10.0,635.0,88.0,206.0,0.42718446601941745,38.0,56.0,0.6785714285714286,219.0,50000.0,114053.0
Mark Bryant,1990,PF,24.0,POR,58.0,0.0,562.0,70.0,153.0,0.45751633986928103,28.0,50.0,0.56,168.0,405000.0,923833.0
Michael Cage,1990,C,28.0,SEA,82.0,82.0,2595.0,325.0,645.0,0.5038759689922481,148.0,212.0,0.6981132075471698,798.0,910000.0,2075773.0
Adrian Caldwell,1990,PF,23.0,HOU,51.0,0.0,331.0,42.0,76.0,0.5526315789473685,13.0,28.0,0.4642857142857143,97.0,275000.0,627294.0
Tony Campbell,1990,SG,27.0,MIN,82.0,81.0,3164.0,723.0,1581.0,0.4573055028462998,448.0,569.0,0.7873462214411248,1903.0,1200000.0,2737284.0
Antoine Carr,1990,PF,28.0,TOT,77.0,4.0,1727.0,356.0,721.0,0.49375866851595007,237.0,298.0,0.7953020134228188,949.0,610000.0,1391452.0
Antoine Carr,1990,PF,28.0,ATL,44.0,0.0,803.0,128.0,248.0,0.5161290322580645,79.0,102.0,0.7745098039215687,335.0,610000.0,1391452.0
Antoine Carr,1990,PF,28.0,SAC,33.0,4.0,924.0,228.0,473.0,0.4820295983086681,158.0,196.0,0.8061224489795918,614.0,610000.0,1391452.0
Joe Barry Carroll,1990,C,31.0,TOT,76.0,47.0,1721.0,312.0,759.0,0.41106719367588934,137.0,177.0,0.7740112994350282,761.0,350000.0,798374.0
Joe Barry Carroll,1990,C,31.0,NJN,46.0,20.0,1002.0,159.0,405.0,0.3925925925925926,85.0,107.0,0.794392523364486,403.0,350000.0,798374.0
Joe Barry Carroll,1990,C,31.0,DEN,30.0,27.0,719.0,153.0,354.0,0.4322033898305085,52.0,70.0,0.7428571428571429,358.0,350000.0,798374.0
Bill Cartwright,1990,C,32.0,CHI,71.0,71.0,2160.0,292.0,598.0,0.4882943143812709,227.0,280.0,0.8107142857142857,811.0,1100000.0,2509177.0
Terry Catledge,1990,PF,26.0,ORL,74.0,72.0,2462.0,546.0,1152.0,0.4739583333333333,341.0,486.0,0.7016460905349794,1435.0,1085000.0,2474961.0
Tom Chambers,1990,PF,30.0,PHO,81.0,81.0,3046.0,810.0,1617.0,0.5009276437847866,557.0,647.0,0.8608964451313755,2201.0,2060000.0,4699004.0
Rex Chapman,1990,SG,22.0,CHH,54.0,52.0,1762.0,377.0,924.0,0.408008658008658,144.0,192.0,0.75,945.0,675000.0,1539722.0
Maurice Cheeks,1990,PG,33.0,TOT,81.0,62.0,2519.0,307.0,609.0,0.5041050903119869,171.0,202.0,0.8465346534653465,789.0,1000000.0,2281070.0
Maurice Cheeks,1990,PG,33.0,SAS,50.0,49.0,1766.0,215.0,450.0,0.4777777777777778,114.0,137.0,0.8321167883211679,545.0,1000000.0,2281070.0
